City,State,Country,Latitude,Longitude,AQI (US),Main (US),AQI (CN),Main (CN),Timestamp,Temperature,Pressure,Humidity,Wind Speed,Wind Direction,Weather Icon,,
Yangon,Yangon,Myanmar,16.80528,96.15611,93,p2,46,p2,04:32.9,30,1010,51,1.03,270,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,102,p2,51,p2,04:33.3,31,1010,48,2.57,290,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,109,p2,55,p2,04:33.7,30,1010,51,4.12,310,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,131,p2,66,p2,04:34.0,29,1010,48,4.63,290,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,155,p2,84,p2,04:34.4,26,1011,61,5.14,280,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,151,p2,76,p2,04:34.8,25,1012,69,2.57,10,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,152,p2,79,p2,04:35.1,25,1012,69,2.06,330,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,147,p2,74,p2,04:35.5,23,1012,73,2.57,280,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,113,p2,57,p2,04:35.8,23,1012,73,4.12,300,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,77,p2,35,p2,04:36.2,22,1012,73,4.12,260,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,73,p2,32,p2,04:36.5,21,1012,73,4.12,250,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,61,p2,24,p2,04:36.9,21,1011,73,3.6,280,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,61,p2,24,p2,04:37.2,20,1011,83,2.57,270,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,61,p2,24,p2,04:37.6,20,1010,83,4.12,260,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,65,p2,27,p2,04:40.3,20,1010,83,1.03,290,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,82,p2,39,p2,04:40.6,19,1010,88,1.03,330,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,94,p2,47,p2,04:40.9,18,1011,94,1.03,280,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,126,p2,63,p2,04:41.3,18,1011,94,1.54,280,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,149,p2,75,p2,04:41.6,19,1012,88,2.06,270,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,146,p2,74,p2,04:42.0,21,1013,78,2.57,350,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,114,p2,58,p2,04:42.2,24,1013,69,5.14,20,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,112,p2,56,p2,04:42.6,26,1012,54,5.14,20,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,82,p2,39,p2,04:43.0,28,1011,51,5.14,30,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,86,p2,41,p2,04:43.3,29,1010,48,4.12,40,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,88,p2,43,p2,04:43.6,30,1009,51,4.12,40,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,86,p2,41,p2,04:44.1,31,1008,48,4.12,40,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,80,p2,37,p2,04:44.5,30,1008,51,1.54,330,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,92,p2,46,p2,04:44.8,29,1008,58,1.03,40,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,142,p2,72,p2,04:45.1,29,1009,58,1.03,30,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,154,p2,82,p2,04:45.5,28,1010,65,1.54,60,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,149,p2,75,p2,04:45.8,27,1011,69,1.03,20,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,128,p2,65,p2,04:46.1,25,1011,69,1.54,320,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,112,p2,56,p2,04:46.5,24,1011,73,1.54,280,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,121,p2,61,p2,04:46.8,24,1011,73,2.57,260,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,122,p2,61,p2,04:47.1,23,1011,83,2.06,270,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,122,p2,61,p2,04:47.4,22,1011,83,1.03,270,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,156,p2,88,p2,04:47.8,22,1011,83,2.06,270,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,146,p2,74,p2,04:48.1,21,1011,94,4.12,250,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,116,p2,58,p2,04:50.7,20,1012,94,1.03,310,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,125,p2,63,p2,04:51.1,19,1012,94,1.54,340,03n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,154,p2,83,p2,04:51.4,19,1012,94,1.54,340,03n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,167,p2,114,p2,04:51.8,19,1013,94,1.03,330,04d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,171,p2,124,p2,04:52.0,19,1014,94,3.09,320,04d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,76,p2,34,p2,04:52.4,21,1015,73,4.12,40,04d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,105,p2,53,p2,04:52.7,24,1015,78,3.6,30,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,88,p2,43,p2,04:53.1,26,1015,69,3.09,70,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,76,p2,34,p2,04:53.3,28,1013,65,3.09,60,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,74,p2,33,p2,04:53.7,29,1012,48,2.57,40,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,72,p2,31,p2,04:54.0,30,1011,48,3.6,20,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,70,p2,31,p2,04:54.3,31,1010,48,4.12,70,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,67,p2,29,p2,04:54.7,31,1011,48,3.09,10,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,100,p2,50,p2,04:55.0,30,1010,51,2.06,340,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,117,p2,59,p2,04:55.4,27,1011,61,3.6,290,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,123,p2,62,p2,04:55.7,26,1011,69,3.09,290,03n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,128,p2,64,p2,04:56.0,25,1012,78,2.06,310,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,140,p2,71,p2,04:56.4,23,1012,83,1.03,290,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,139,p2,70,p2,04:56.7,23,1012,83,1.03,290,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,138,p2,69,p2,04:57.0,23,1012,83,1.03,280,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,136,p2,69,p2,04:57.3,23,1012,83,1.03,310,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,125,p2,63,p2,04:57.7,22,1011,83,1.03,330,04n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,118,p2,59,p2,04:58.0,22,1011,83,1.03,330,04n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,120,p2,60,p2,04:58.3,21,1011,94,1.03,310,04n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,128,p2,64,p2,05:01.0,20,1010,94,2.57,290,04n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,152,p2,77,p2,05:01.3,20,1011,94,1.03,300,04n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,165,p2,110,p2,05:01.6,19,1011,88,1.03,280,04d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,169,p2,120,p2,05:01.9,19,1012,100,0,0,50d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,160,p2,98,p2,05:02.3,20,1013,83,2.06,320,04d,,
